League,Team,Avg Away Attendance,Total Away Attendance,Highest Away Attendance,Lowest Away Attendance,Season,KEY
Eredivisie,Willem II Tilburg,"19,520","331,841","48,494","3,500",2015/16,Eredivisie|Willem II Tilburg|2015/16
Eredivisie,PSV Eindhoven,"19,406","329,904","51,154","3,700",2015/16,Eredivisie|PSV Eindhoven|2015/16
Eredivisie,FC Utrecht,"19,314","328,330","51,768","3,430",2015/16,Eredivisie|FC Utrecht|2015/16
Eredivisie,Roda JC Kerkrade,"19,282","327,789","50,681","3,500",2015/16,Eredivisie|Roda JC Kerkrade|2015/16
Eredivisie,FC Twente,"19,145","325,470","51,727","3,400",2015/16,Eredivisie|FC Twente|2015/16
Eredivisie,SC Heerenveen,"19,039","323,658","47,544","3,750",2015/16,Eredivisie|SC Heerenveen|2015/16
Eredivisie,ADO Den Haag,"19,036","323,611","47,500","3,519",2015/16,Eredivisie|ADO Den Haag|2015/16
Eredivisie,Feyenoord,"18,999","322,979","51,875","3,750",2015/16,Eredivisie|Feyenoord|2015/16
Eredivisie,AFC Ajax,"18,898","321,274","47,500","3,750",2015/16,Eredivisie|AFC Ajax|2015/16
Eredivisie,FC Groningen,"18,695","317,818","47,500","3,605",2015/16,Eredivisie|FC Groningen|2015/16
Serie A,Juventus,"28,965","550,339","75,393","7,954",2015/16,Serie A|Juventus|2015/16
Serie A,Napoli,"25,976","493,536","59,310","7,954",2015/16,Serie A|Napoli|2015/16
Serie A,AC Milan,"25,807","490,330","79,154","7,931",2015/16,Serie A|AC Milan|2015/16
Serie A,Internazionale,"25,564","485,713","77,043","7,954",2015/16,Serie A|Internazionale|2015/16
Serie A,AS Roma,"25,137","477,596","59,213","9,000",2015/16,Serie A|AS Roma|2015/16
Serie A,Empoli,"22,773","432,696","59,658","5,200",2015/16,Serie A|Empoli|2015/16
Serie A,Fiorentina,"22,770","432,626","49,800","9,651",2015/16,Serie A|Fiorentina|2015/16
Serie A,Sassuolo,"22,643","430,224","60,133","6,014",2015/16,Serie A|Sassuolo|2015/16
Serie A,Frosinone,"22,194","421,681","56,452","7,897",2015/16,Serie A|Frosinone|2015/16
Serie A,Genoa,"21,960","417,235","43,917","6,450",2015/16,Serie A|Genoa|2015/16
Serie A,Carpi,"21,461","407,764","40,316","6,144",2015/16,Serie A|Carpi|2015/16
Serie A,Torino,"20,938","397,824","39,828","7,810",2015/16,Serie A|Torino|2015/16
Serie A,Udinese,"20,738","394,031","48,012","5,268",2015/16,Serie A|Udinese|2015/16
Serie A,SS Lazio,"20,631","391,984","46,260","7,954",2015/16,Serie A|SS Lazio|2015/16
Serie A,Palermo,"20,202","383,842","48,744","6,095",2015/16,Serie A|Palermo|2015/16
Serie A,Bologna,"20,187","383,547","40,267","6,177",2015/16,Serie A|Bologna|2015/16
Serie A,Hellas Verona,"20,122","382,319","42,784","2,304",2015/16,Serie A|Hellas Verona|2015/16
Serie A,Chievo,"19,980","379,615","38,000","7,033",2015/16,Serie A|Chievo|2015/16
Serie A,Sampdoria,"19,711","374,509","39,272","2,338",2015/16,Serie A|Sampdoria|2015/16
Serie A,Atalanta,"19,359","348,461","38,000","6,699",2015/16,Serie A|Atalanta|2015/16
Scottish Premiership,Ross County,"11,914","226,360","45,197","2,120",2015/16,Scottish Premiership|Ross County|2015/16
Scottish Premiership,Aberdeen,"11,248","213,716","48,161","2,434",2015/16,Scottish Premiership|Aberdeen|2015/16
Scottish Premiership,St Johnstone,"11,005","209,089","43,948","2,216",2015/16,Scottish Premiership|St Johnstone|2015/16
Scottish Premiership,Dundee,"10,400","197,598","48,558","2,764",2015/16,Scottish Premiership|Dundee|2015/16
Scottish Premiership,Motherwell,"10,356","196,757","49,050","2,487",2015/16,Scottish Premiership|Motherwell|2015/16
Scottish Premiership,Heart of Midlothian,"10,348","196,610","49,009","2,684",2015/16,Scottish Premiership|Heart of Midlothian|2015/16
Scottish Premiership,Celtic,"9,652","183,394","20,385","4,910",2015/16,Scottish Premiership|Celtic|2015/16
Scottish Premiership,Inverness Cali,"9,210","174,998","43,600","1,516",2015/16,Scottish Premiership|Inverness Cali|2015/16
Scottish Premiership,Kilmarnock,"8,580","163,025","42,770","2,006",2015/16,Scottish Premiership|Kilmarnock|2015/16
Scottish Premiership,Partick Thistle,"7,972","151,472","46,067","2,569",2015/16,Scottish Premiership|Partick Thistle|2015/16
Scottish Premiership,Dundee United,"7,726","146,803","42,718","2,173",2015/16,Scottish Premiership|Dundee United|2015/16
Scottish Premiership,Hamilton Academical,"7,638","145,127","45,659","2,648",2015/16,Scottish Premiership|Hamilton Academical|2015/16
