League,Team,Avg Away Attendance,Total Away Attendance,Highest Away Attendance,Lowest Away Attendance,Season,KEY
La Liga,CD Leganes,"30,643","337,075","53,870","13,018",2019/20,La Liga|CD Leganes|2019/20
La Liga,Eibar,"27,051","324,612","55,664","9,648",2019/20,La Liga|Eibar|2019/20
La Liga,CD Alaves,"25,367","304,400","63,054","6,315",2019/20,La Liga|CD Alaves|2019/20
La Liga,Espanyol,"24,824","297,882","64,125","5,410",2019/20,La Liga|Espanyol|2019/20
La Liga,Real Betis,"26,579","292,368","79,159","6,564",2019/20,La Liga|Real Betis|2019/20
La Liga,Osasuna,"24,012","288,142","57,520","10,020",2019/20,La Liga|Osasuna|2019/20
La Liga,RCD Mallorca,"25,016","275,179","71,072","10,058",2019/20,La Liga|RCD Mallorca|2019/20
La Liga,Real Madrid,"25,642","256,419","67,942","6,954",2019/20,La Liga|Real Madrid|2019/20
La Liga,Villarreal,"23,003","253,031","70,316","5,583",2019/20,La Liga|Villarreal|2019/20
French Ligue 1,Angers SCO,"31,086","248,689","55,761","10,177",2019/20,French Ligue 1|Angers SCO|2019/20
French Ligue 1,Olympique Marseille,"23,647","236,467","47,926","9,147",2019/20,French Ligue 1|Olympique Marseille|2019/20
French Ligue 1,Paris Saint-Germain,"25,436","228,923","49,132","11,214",2019/20,French Ligue 1|Paris Saint-Germain|2019/20
French Ligue 1,RC Strasbourg,"20,701","227,714","50,203","4,800",2019/20,French Ligue 1|RC Strasbourg|2019/20
French Ligue 1,Olympique Lyonnais,"25,260","227,338","65,421","12,577",2019/20,French Ligue 1|Olympique Lyonnais|2019/20
French Ligue 1,Girondins De Bordeaux,"24,226","218,038","52,327","10,749",2019/20,French Ligue 1|Girondins De Bordeaux|2019/20
French Ligue 1,AS Monaco,"24,690","197,519","47,580","9,959",2019/20,French Ligue 1|AS Monaco|2019/20
French Ligue 1,AS Saint-Etienne,"27,991","195,939","44,074","14,334",2019/20,French Ligue 1|AS Saint-Etienne|2019/20
French Ligue 1,Lille OSC,"27,812","194,682","53,321","12,115",2019/20,French Ligue 1|Lille OSC|2019/20
French Ligue 1,Toulouse,"25,500","178,502","47,325","12,734",2019/20,French Ligue 1|Toulouse|2019/20
French Ligue 1,Stade Rennes,"19,277","173,496","45,010","6,763",2019/20,French Ligue 1|Stade Rennes|2019/20
French Ligue 1,Stade Reims,"19,085","171,761","52,887","10,712",2019/20,French Ligue 1|Stade Reims|2019/20
French Ligue 1,Nimes Olympique,"20,919","167,349","47,151","7,438",2019/20,French Ligue 1|Nimes Olympique|2019/20
French Ligue 1,Stade Brest,"22,873","160,110","50,014","10,369",2019/20,French Ligue 1|Stade Brest|2019/20
French Ligue 1,FC Metz,"17,068","153,613","33,425","9,001",2019/20,French Ligue 1|FC Metz|2019/20
French Ligue 1,Dijon FCO,"18,873","150,982","48,454","5,223",2019/20,French Ligue 1|Dijon FCO|2019/20
French Ligue 1,OGC Nice,"21,100","147,703","49,401","9,105",2019/20,French Ligue 1|OGC Nice|2019/20
French Ligue 1,Montpellier HSC,"18,137","145,098","30,192","4,384",2019/20,French Ligue 1|Montpellier HSC|2019/20
French Ligue 1,FC Nantes,"17,711","123,980","34,494","11,393",2019/20,French Ligue 1|FC Nantes|2019/20
French Ligue 1,Amiens SC,"12,797","89,582","20,677","4,203",2019/20,French Ligue 1|Amiens SC|2019/20
Serie A,Juventus,"43,091","258,545","75,923","20,073",2019/20,Serie A|Juventus|2019/20
Serie A,Udinese,"39,240","235,438","57,991","14,250",2019/20,Serie A|Udinese|2019/20
Serie A,SPAL,"31,826","222,780","61,221","10,937",2019/20,Serie A|SPAL|2019/20
Serie A,Parma,"27,691","221,525","67,076","11,776",2019/20,Serie A|Parma|2019/20
Serie A,AS Roma,"29,055","203,387","67,008","13,411",2019/20,Serie A|AS Roma|2019/20
Serie A,AC Milan,"25,355","202,841","44,333","18,431",2019/20,Serie A|AC Milan|2019/20
Serie A,Internazionale,"32,893","197,357","70,440","16,412",2019/20,Serie A|Internazionale|2019/20
Serie A,Genoa,"30,707","184,241","57,490","14,574",2019/20,Serie A|Genoa|2019/20
Serie A,Cagliari,"28,770","172,619","70,465","12,666",2019/20,Serie A|Cagliari|2019/20
Serie A,Lecce,"28,175","169,047","64,188","13,131",2019/20,Serie A|Lecce|2019/20
Serie A,Sassuolo,"33,761","168,805","58,005","16,536",2019/20,Serie A|Sassuolo|2019/20
Serie A,SS Lazio,"27,436","164,614","59,902","13,650",2019/20,Serie A|SS Lazio|2019/20
Serie A,Fiorentina,"25,895","155,368","48,367","10,314",2019/20,Serie A|Fiorentina|2019/20
Serie A,Brescia,"25,879","155,274","56,691","12,492",2019/20,Serie A|Brescia|2019/20
Serie A,Hellas Verona,"30,980","154,899","55,355","15,846",2019/20,Serie A|Hellas Verona|2019/20
Serie A,Napoli,"24,576","147,453","39,203","12,570",2019/20,Serie A|Napoli|2019/20
Serie A,Sampdoria,"20,426","142,983","32,679","9,608",2019/20,Serie A|Sampdoria|2019/20
Serie A,Bologna,"19,428","116,568","27,083","12,622",2019/20,Serie A|Bologna|2019/20
Serie A,Atalanta,"19,124","76,496","23,395","13,000",2019/20,Serie A|Atalanta|2019/20
Serie A,Torino,"16,400","65,600","21,947","10,000",2019/20,Serie A|Torino|2019/20
Scottish Premiership,Ross County,"17,687","247,618","58,785","1,201",2019/20,Scottish Premiership|Ross County|2019/20
Scottish Premiership,Heart of Midlothian,"18,391","239,082","58,763","2,654",2019/20,Scottish Premiership|Heart of Midlothian|2019/20
Scottish Premiership,Hibernian,"16,684","233,581","57,598","2,680",2019/20,Scottish Premiership|Hibernian|2019/20
Scottish Premiership,Aberdeen,"17,733","230,529","59,131","1,218",2019/20,Scottish Premiership|Aberdeen|2019/20
Scottish Premiership,Livingston,"16,089","225,247","58,247","1,075",2019/20,Scottish Premiership|Livingston|2019/20
Scottish Premiership,Kilmarnock,"14,947","194,315","57,137","1,531",2019/20,Scottish Premiership|Kilmarnock|2019/20
Scottish Premiership,St Mirren,"14,722","191,390","56,127","1,263",2019/20,Scottish Premiership|St Mirren|2019/20
Scottish Premiership,Hamilton Academical,"14,617","190,020","54,584","1,076",2019/20,Scottish Premiership|Hamilton Academical|2019/20
Scottish Premiership,Celtic,"12,903","180,642","49,873","4,708",2019/20,Scottish Premiership|Celtic|2019/20
Scottish Premiership,Motherwell,"14,603","175,233","57,137","1,932",2019/20,Scottish Premiership|Motherwell|2019/20
Scottish Premiership,St Johnstone,"11,642","139,698","58,877","1,140",2019/20,Scottish Premiership|St Johnstone|2019/20
Scottish Premiership,Rangers,"10,785","129,422","19,540","5,100",2019/20,Scottish Premiership|Rangers|2019/20
